TID;CIVILSTAND;INDHOLD
2019K1;Ugift;2830166
2019K1;Gift/separeret;2141704
2019K1;Enke/enkemand;289126
2019K1;Fraskilt;545085
2019K2;Ugift;2840546
2019K2;Gift/separeret;2136452
2019K2;Enke/enkemand;288818
2019K2;Fraskilt;545597
2019K3;Ugift;2840316
2019K3;Gift/separeret;2140880
2019K3;Enke/enkemand;288534
2019K3;Fraskilt;544731
2019K4;Ugift;2845453
2019K4;Gift/separeret;2149938
2019K4;Enke/enkemand;288226
2019K4;Fraskilt;543846
2020K1;Ugift;2844060
2020K1;Gift/separeret;2146017
2020K1;Enke/enkemand;288098
2020K1;Fraskilt;544588
2020K2;Ugift;2851131
2020K2;Gift/separeret;2137608
2020K2;Enke/enkemand;287889
2020K2;Fraskilt;548229
2020K3;Ugift;2854659
2020K3;Gift/separeret;2132092
2020K3;Enke/enkemand;287871
2020K3;Fraskilt;550715
2020K4;Ugift;2859116
2020K4;Gift/separeret;2138124
2020K4;Enke/enkemand;287554
2020K4;Fraskilt;552419
2021K1;Ugift;2861497
2021K1;Gift/separeret;2136102
2021K1;Enke/enkemand;287344
2021K1;Fraskilt;555102
